<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;03.02.2022;0:00:00;174.5300000;176.2300000;172.1200000;173.0100000;3785762
US1.AAPL;D;04.02.2022;0:00:00;171.6800000;174.0950000;170.7000000;172.2700000;4057152
US1.AAPL;D;07.02.2022;0:00:00;172.8600000;173.9400000;170.9600000;171.7700000;3153661
US1.AAPL;D;08.02.2022;0:00:00;171.6900000;175.3400000;171.4300000;174.8200000;3857692
US1.AAPL;D;09.02.2022;0:00:00;176.0500000;176.6500000;174.9050000;176.2500000;3752098
US1.AAPL;D;10.02.2022;0:00:00;174.1400000;175.4800000;171.5500000;172.3200000;5628191
US1.AAPL;D;11.02.2022;0:00:00;172.3300000;173.0800000;168.0600000;168.4000000;7246604
US1.AAPL;D;14.02.2022;0:00:00;167.3700000;169.5600000;166.5700000;168.8900000;5115982
US1.AAPL;D;15.02.2022;0:00:00;170.9500000;172.9200000;170.2600000;172.8200000;3904983
US1.AAPL;D;16.02.2022;0:00:00;171.8500000;173.3300000;170.0500000;172.5300000;3936086
US1.AAPL;D;17.02.2022;0:00:00;171.0100000;171.9000000;168.4800000;168.9200000;4112312
US1.AAPL;D;18.02.2022;0:00:00;169.8200000;170.5300000;166.2000000;167.3800000;5013956
US1.AAPL;D;22.02.2022;0:00:00;164.9700000;166.6800000;162.1500000;164.3000000;5854462
US1.AAPL;D;23.02.2022;0:00:00;165.5400000;166.1500000;159.7500000;160.1400000;5653282
US1.AAPL;D;24.02.2022;0:00:00;152.6300000;162.8300000;152.0000000;162.7300000;8676711
